Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
tic-tac-toe,FPGA,2,861,97,1,1.6630191802978516,0.08269572257995605,0.8267973856209149,0.845360824742268,0.8444626679162761,0.845360824742268,0.8448156166969357
tic-tac-toe,FPGA,2,861,97,2,1.6613404750823975,0.08329939842224121,0.7565359477124183,0.7628865979381443,0.7733918528443946,0.7628865979381443,0.7661078826938811
tic-tac-toe,FPGA,2,862,96,3,1.666412353515625,0.08307886123657227,0.7301587301587302,0.75,0.7539812646370024,0.75,0.7516603415559774
tic-tac-toe,FPGA,2,862,96,4,1.6774752140045166,0.0839242935180664,0.5793650793650793,0.65625,0.6330236486486487,0.65625,0.6356751824817518
tic-tac-toe,FPGA,2,862,96,5,1.688194990158081,0.08338737487792969,0.6839826839826839,0.7083333333333334,0.7128220140515222,0.7083333333333334,0.7102703984819735
tic-tac-toe,FPGA,2,862,96,6,1.67740797996521,0.08381891250610352,0.7150072150072149,0.7395833333333334,0.7415500474383302,0.7395833333333334,0.7404850746268656
tic-tac-toe,FPGA,2,863,95,7,1.6840314865112305,0.08371734619140625,0.6669110459433039,0.6947368421052632,0.6969649291985992,0.6947368421052632,0.6957740182272208
tic-tac-toe,FPGA,2,863,95,8,1.6739749908447266,0.08354043960571289,0.7062561094819159,0.7368421052631579,0.7350668337510442,0.7368421052631579,0.7358704453441295
tic-tac-toe,FPGA,2,863,95,9,1.6824982166290283,0.08359241485595703,0.7910557184750734,0.8105263157894737,0.8105263157894737,0.8105263157894737,0.8105263157894737
tic-tac-toe,FPGA,2,863,95,10,1.6863036155700684,0.0903162956237793,0.6972140762463342,0.7157894736842105,0.7225245316681534,0.7157894736842105,0.7184446923993418
